,OPEN,CLOSE,TRADEDATE
0,38.9,39.04,2015-06-23
1,38.61,38.72,2015-06-24
2,38.92,38.3,2015-06-25
3,38.26,39.16,2015-06-26
4,38.3,38.0,2015-06-29
5,38.05,38.24,2015-06-30
6,38.14,37.3,2015-07-01
7,37.39,37.0,2015-07-02
8,37.06,37.05,2015-07-03
9,36.63,36.67,2015-07-06
10,36.51,36.75,2015-07-07
11,36.61,38.0,2015-07-08
12,38.0,38.05,2015-07-09
13,38.41,38.07,2015-07-10
14,38.1,38.1,2015-07-13
15,38.1,38.94,2015-07-14
16,38.81,38.96,2015-07-15
17,39.2,39.55,2015-07-16
18,39.75,39.55,2015-07-17
19,39.45,38.82,2015-07-20
20,38.55,39.1,2015-07-21
21,39.18,39.0,2015-07-22
22,39.02,39.33,2015-07-23
23,39.32,39.13,2015-07-24
24,39.13,38.6,2015-07-27
25,38.6,38.12,2015-07-28
26,38.12,38.97,2015-07-29
27,39.08,39.22,2015-07-30
28,39.0,39.35,2015-07-31
29,39.3,39.3,2015-08-03
30,39.3,39.3,2015-08-04
31,39.1,40.5,2015-08-05
32,40.49,39.9,2015-08-06
33,40.06,40.52,2015-08-07
34,40.38,40.23,2015-08-10
35,40.23,40.19,2015-08-11
36,40.19,40.18,2015-08-12
37,40.25,40.1,2015-08-13
38,40.01,39.87,2015-08-14
39,40.08,39.8,2015-08-17
40,39.72,39.95,2015-08-18
41,40.0,39.9,2015-08-19
42,39.9,39.8,2015-08-20
43,39.3,39.0,2015-08-21
44,37.7,37.73,2015-08-24
45,37.72,38.74,2015-08-25
46,39.39,38.95,2015-08-26
47,39.18,38.8,2015-08-27
48,39.17,39.04,2015-08-28
49,38.96,40.0,2015-08-31
50,40.15,37.7,2015-09-01
51,37.77,36.27,2015-09-02
52,36.2,35.7,2015-09-03
53,35.69,34.85,2015-09-04
54,35.0,34.1,2015-09-07
55,33.98,33.51,2015-09-08
56,33.9,34.97,2015-09-09
57,34.9,35.66,2015-09-10
58,35.6,35.55,2015-09-11
59,35.6,36.25,2015-09-14
60,36.25,36.2,2015-09-15
61,36.3,36.15,2015-09-16
62,36.24,35.83,2015-09-17
63,35.8,36.53,2015-09-18
64,35.97,35.95,2015-09-21
65,35.91,35.51,2015-09-22
66,35.24,35.31,2015-09-23
67,35.45,34.67,2015-09-24
68,34.71,35.33,2015-09-25
69,35.11,34.53,2015-09-28
70,34.53,34.6,2015-09-29
71,34.75,35.23,2015-09-30
72,35.5,36.1,2015-10-01
73,37.5,38.8,2015-10-02
74,39.2,38.92,2015-10-05
75,39.15,39.43,2015-10-06
76,39.12,40.8,2015-10-07
77,40.68,41.6,2015-10-08
78,41.6,43.31,2015-10-09
79,43.4,44.42,2015-10-12
80,44.4,44.9,2015-10-13
81,44.78,47.39,2015-10-14
82,47.5,49.0,2015-10-15
83,49.49,48.9,2015-10-16
84,48.8,48.11,2015-10-19
85,48.3,49.31,2015-10-20
86,47.5,47.8,2015-10-21
87,47.96,49.23,2015-10-22
88,49.67,48.26,2015-10-23
89,48.5,48.07,2015-10-26
90,48.27,47.23,2015-10-27
91,46.57,47.52,2015-10-28
92,47.45,47.44,2015-10-29
93,47.0,49.0,2015-10-30
94,48.91,49.3,2015-11-02
95,49.89,52.52,2015-11-03
96,52.6,51.96,2015-11-05
97,51.5,51.94,2015-11-06
98,51.77,52.41,2015-11-09
99,52.09,51.84,2015-11-10
100,51.84,53.53,2015-11-11
101,53.65,53.47,2015-11-12
102,53.45,53.39,2015-11-13
103,52.8,52.3,2015-11-16
104,52.6,54.9,2015-11-17
105,54.95,57.09,2015-11-18
106,57.4,56.45,2015-11-19
107,56.03,57.86,2015-11-20
108,57.77,57.52,2015-11-23
109,57.88,55.77,2015-11-24
110,55.1,56.67,2015-11-25
111,56.7,55.12,2015-11-26
112,55.12,55.42,2015-11-27
113,55.25,58.91,2015-11-30
114,58.79,61.0,2015-12-01
115,61.0,57.6,2015-12-02
116,57.5,56.51,2015-12-03
117,56.7,57.33,2015-12-04
118,57.3,59.0,2015-12-07
119,58.7,56.91,2015-12-08
120,57.1,58.4,2015-12-09
121,58.79,59.84,2015-12-10
122,59.71,58.5,2015-12-11
123,58.08,58.0,2015-12-14
124,58.08,57.2,2015-12-15
125,57.2,56.45,2015-12-16
126,56.47,57.15,2015-12-17
127,56.83,56.51,2015-12-18
128,56.82,56.9,2015-12-21
129,57.45,57.5,2015-12-22
130,57.69,57.01,2015-12-23
131,57.3,56.8,2015-12-24
132,56.8,56.74,2015-12-25
133,56.61,56.29,2015-12-28
134,56.16,56.11,2015-12-29
135,55.97,56.1,2015-12-30
136,55.98,56.2,2016-01-04
137,55.7,54.45,2016-01-05
138,54.5,54.05,2016-01-06
139,53.4,52.06,2016-01-11
140,51.96,53.25,2016-01-12
141,53.12,55.0,2016-01-13
142,54.57,53.6,2016-01-14
143,53.4,51.98,2016-01-15
144,51.31,50.4,2016-01-18
