,OPEN,CLOSE,TRADEDATE
0,63.2,63.2,2015-06-23
1,63.98,64.0,2015-06-24
2,63.66,62.8,2015-06-25
3,63.1,63.45,2015-06-26
4,62.83,63.78,2015-06-29
5,63.99,63.0,2015-06-30
6,63.0,63.2,2015-07-01
7,63.55,63.37,2015-07-02
8,63.6,64.1,2015-07-03
9,64.05,67.41,2015-07-06
10,67.4,68.15,2015-07-07
11,68.25,68.2,2015-07-08
12,68.34,70.0,2015-07-09
13,70.65,72.3,2015-07-10
14,72.35,73.45,2015-07-13
15,72.6,70.79,2015-07-14
16,70.75,70.24,2015-07-15
17,70.09,72.06,2015-07-16
18,72.39,71.1,2015-07-17
19,70.31,72.97,2015-07-20
20,72.96,72.4,2015-07-21
21,72.21,72.39,2015-07-22
22,72.05,70.1,2015-07-23
23,70.2,66.7,2015-07-24
24,66.3,66.21,2015-07-27
25,66.07,65.73,2015-07-28
26,66.47,66.0,2015-07-29
27,66.07,67.77,2015-07-30
28,67.2,71.2,2015-07-31
29,70.98,73.49,2015-08-03
30,73.49,71.95,2015-08-04
31,71.9,73.06,2015-08-05
32,73.03,73.05,2015-08-06
33,73.3,73.01,2015-08-07
34,73.09,73.21,2015-08-10
35,73.48,73.49,2015-08-11
36,73.47,73.88,2015-08-12
37,73.88,72.52,2015-08-13
38,72.27,69.73,2015-08-14
39,69.84,67.96,2015-08-17
40,67.97,67.05,2015-08-18
41,67.2,65.69,2015-08-19
42,66.09,65.48,2015-08-20
43,65.25,65.5,2015-08-21
44,63.3,63.8,2015-08-24
45,64.03,63.24,2015-08-25
46,63.66,64.61,2015-08-26
47,65.49,63.39,2015-08-27
48,63.89,64.1,2015-08-28
49,64.64,65.0,2015-08-31
50,65.33,66.49,2015-09-01
51,66.2,65.9,2015-09-02
52,66.11,65.2,2015-09-03
53,65.48,64.02,2015-09-04
54,64.02,63.05,2015-09-07
55,63.35,63.02,2015-09-08
56,63.35,62.91,2015-09-09
