,OPEN,CLOSE,TRADEDATE
0,148.75,146.25,2015-06-23
1,146.7,146.68,2015-06-24
2,146.28,143.7,2015-06-25
3,143.7,145.18,2015-06-26
4,143.69,143.59,2015-06-29
5,143.5,145.85,2015-06-30
6,145.7,145.5,2015-07-01
7,145.51,145.8,2015-07-02
8,145.96,144.33,2015-07-03
9,143.51,143.0,2015-07-06
10,142.77,142.5,2015-07-07
11,142.45,141.5,2015-07-08
12,141.9,143.77,2015-07-09
13,144.0,143.9,2015-07-10
14,143.7,145.27,2015-07-13
15,145.3,146.5,2015-07-14
16,141.5,142.7,2015-07-15
17,142.51,144.2,2015-07-16
18,143.66,143.6,2015-07-17
19,143.9,141.78,2015-07-20
20,141.5,141.41,2015-07-21
21,140.7,140.8,2015-07-22
22,140.55,138.37,2015-07-23
23,138.1,136.41,2015-07-24
24,136.1,134.51,2015-07-27
25,134.5,135.05,2015-07-28
26,135.38,138.7,2015-07-29
27,138.5,139.8,2015-07-30
28,139.4,142.5,2015-07-31
29,142.0,141.45,2015-08-03
30,141.1,141.89,2015-08-04
31,142.24,143.78,2015-08-05
32,143.01,140.88,2015-08-06
33,141.01,141.34,2015-08-07
34,141.25,141.5,2015-08-10
35,141.5,141.97,2015-08-11
36,141.22,142.99,2015-08-12
37,143.3,143.7,2015-08-13
38,143.7,144.8,2015-08-14
39,144.5,144.25,2015-08-17
40,143.61,142.65,2015-08-18
41,142.5,140.8,2015-08-19
42,140.1,142.64,2015-08-20
43,141.55,140.29,2015-08-21
44,139.0,135.35,2015-08-24
45,135.72,140.4,2015-08-25
46,140.29,140.51,2015-08-26
47,141.9,144.6,2015-08-27
48,145.3,146.6,2015-08-28
49,145.89,148.19,2015-08-31
50,148.19,144.5,2015-09-01
51,144.1,142.57,2015-09-02
52,143.61,145.3,2015-09-03
53,144.9,142.8,2015-09-04
54,142.51,141.67,2015-09-07
55,142.27,143.21,2015-09-08
56,144.5,144.22,2015-09-09
57,143.6,142.99,2015-09-10
58,143.26,142.4,2015-09-11
59,142.25,143.58,2015-09-14
60,143.51,141.95,2015-09-15
61,142.45,142.91,2015-09-16
62,143.0,142.8,2015-09-17
63,143.34,139.5,2015-09-18
64,140.13,139.45,2015-09-21
65,139.76,136.4,2015-09-22
66,136.5,134.3,2015-09-23
67,134.67,132.2,2015-09-24
68,132.61,133.85,2015-09-25
69,134.1,130.9,2015-09-28
70,130.42,133.2,2015-09-29
71,133.8,134.55,2015-09-30
72,134.7,132.9,2015-10-01
73,132.47,131.5,2015-10-02
74,132.5,136.8,2015-10-05
75,137.0,137.87,2015-10-06
76,138.16,140.0,2015-10-07
77,139.35,139.8,2015-10-08
78,140.6,143.81,2015-10-09
79,143.89,141.7,2015-10-12
80,141.0,141.8,2015-10-13
81,141.11,142.01,2015-10-14
82,142.39,142.61,2015-10-15
83,143.97,141.0,2015-10-16
84,140.77,140.27,2015-10-19
85,140.74,140.4,2015-10-20
86,140.36,139.49,2015-10-21
87,139.39,139.25,2015-10-22
88,139.71,138.94,2015-10-23
89,139.1,138.5,2015-10-26
90,137.39,138.5,2015-10-27
91,138.35,138.1,2015-10-28
92,138.25,136.11,2015-10-29
93,136.11,135.75,2015-10-30
94,135.49,137.8,2015-11-02
95,137.6,141.75,2015-11-03
96,141.9,140.97,2015-11-05
97,140.91,137.75,2015-11-06
98,138.1,136.5,2015-11-09
99,136.49,135.58,2015-11-10
100,136.0,135.0,2015-11-11
101,135.02,136.6,2015-11-12
102,136.44,136.0,2015-11-13
103,136.45,137.21,2015-11-16
104,138.27,142.75,2015-11-17
105,142.84,147.47,2015-11-18
106,148.14,147.5,2015-11-19
107,146.11,148.05,2015-11-20
108,147.87,152.0,2015-11-23
109,151.82,145.65,2015-11-24
110,146.0,143.99,2015-11-25
111,144.27,143.2,2015-11-26
112,143.0,140.65,2015-11-27
113,140.35,138.0,2015-11-30
114,140.0,137.42,2015-12-01
115,137.51,136.85,2015-12-02
116,136.56,140.0,2015-12-03
117,140.4,137.7,2015-12-04
118,137.51,134.5,2015-12-07
119,134.31,134.65,2015-12-08
120,134.93,135.81,2015-12-09
121,135.65,135.6,2015-12-10
122,135.17,133.8,2015-12-11
123,133.09,131.59,2015-12-14
124,132.24,134.4,2015-12-15
125,134.5,134.5,2015-12-16
126,134.65,137.9,2015-12-17
127,137.29,132.25,2015-12-18
128,132.0,131.5,2015-12-21
129,132.0,133.2,2015-12-22
130,133.55,135.3,2015-12-23
131,135.85,136.0,2015-12-24
132,136.49,134.48,2015-12-25
133,134.35,134.97,2015-12-28
134,135.26,137.49,2015-12-29
135,137.49,136.09,2015-12-30
136,135.89,134.91,2016-01-04
137,134.66,136.45,2016-01-05
138,136.31,135.94,2016-01-06
139,133.0,131.38,2016-01-11
140,130.4,133.54,2016-01-12
141,134.17,131.3,2016-01-13
142,130.99,130.86,2016-01-14
143,130.31,125.1,2016-01-15
144,124.8,124.6,2016-01-18
145,125.52,125.98,2016-01-19
146,123.6,125.83,2016-01-20
147,126.01,127.75,2016-01-21
148,129.99,132.4,2016-01-22
149,133.14,133.0,2016-01-25
150,131.0,131.89,2016-01-26
151,132.14,134.0,2016-01-27
152,133.9,136.5,2016-01-28
153,137.0,136.6,2016-01-29
154,136.01,133.9,2016-02-01
155,133.05,132.5,2016-02-02
156,131.9,131.01,2016-02-03
157,133.16,135.07,2016-02-04
158,134.5,134.43,2016-02-05
159,134.3,133.5,2016-02-08
160,132.98,132.7,2016-02-09
161,132.06,133.03,2016-02-10
162,132.87,130.49,2016-02-11
163,131.17,131.3,2016-02-12
164,132.01,133.43,2016-02-15
165,134.5,135.85,2016-02-16
166,135.5,137.1,2016-02-17
167,137.4,138.0,2016-02-18
168,137.29,136.9,2016-02-19
169,136.51,136.59,2016-02-20
170,136.99,139.9,2016-02-22
171,138.56,137.15,2016-02-24
172,137.7,137.97,2016-02-25
173,138.8,138.67,2016-02-26
174,137.89,141.4,2016-02-29
175,141.89,142.0,2016-03-01
176,142.6,140.14,2016-03-02
177,140.61,144.5,2016-03-03
178,144.6,146.16,2016-03-04
179,146.86,150.15,2016-03-07
180,149.02,147.43,2016-03-09
181,148.04,146.94,2016-03-10
182,147.01,144.3,2016-03-11
183,144.47,143.2,2016-03-14
184,143.4,142.54,2016-03-15
185,142.99,144.75,2016-03-16
186,145.61,147.27,2016-03-17
187,147.22,150.65,2016-03-18
188,149.57,149.9,2016-03-21
189,149.99,149.62,2016-03-22
190,149.14,146.0,2016-03-23
191,145.2,145.8,2016-03-24
192,146.3,146.04,2016-03-25
193,146.52,145.1,2016-03-28
194,144.75,144.7,2016-03-29
195,145.21,147.8,2016-03-30
196,147.5,147.75,2016-03-31
197,147.02,147.2,2016-04-01
198,147.2,146.38,2016-04-04
199,145.1,144.34,2016-04-05
200,144.87,144.2,2016-04-06
201,144.93,143.89,2016-04-07
202,144.22,145.7,2016-04-08
203,145.7,147.3,2016-04-11
204,147.3,148.9,2016-04-12
205,149.1,153.12,2016-04-13
206,153.34,150.43,2016-04-14
207,150.69,147.99,2016-04-15
208,146.0,146.3,2016-04-18
209,146.5,155.95,2016-04-19
210,155.88,161.95,2016-04-20
211,164.76,161.8,2016-04-21
212,162.11,161.2,2016-04-22
213,160.81,160.3,2016-04-25
214,159.82,163.0,2016-04-26
215,163.88,160.99,2016-04-27
216,161.03,164.75,2016-04-28
217,164.6,168.47,2016-04-29
218,166.37,162.4,2016-05-04
219,161.3,160.5,2016-05-05
220,160.7,159.27,2016-05-06
221,158.78,156.85,2016-05-10
222,157.24,159.45,2016-05-11
223,160.95,159.03,2016-05-12
224,159.3,159.85,2016-05-13
225,159.98,158.07,2016-05-16
226,155.1,153.58,2016-05-17
227,153.5,152.1,2016-05-18
228,151.25,148.33,2016-05-19
229,149.37,146.7,2016-05-20
230,145.99,144.31,2016-05-23
231,144.95,146.35,2016-05-24
232,146.9,146.55,2016-05-25
233,147.34,148.87,2016-05-26
234,148.8,149.88,2016-05-27
235,149.97,149.6,2016-05-30
236,149.74,145.5,2016-05-31
237,145.9,144.7,2016-06-01
238,144.86,144.0,2016-06-02
239,144.35,143.41,2016-06-03
240,144.33,146.4,2016-06-06
241,146.43,147.75,2016-06-07
242,148.04,146.95,2016-06-08
243,147.0,144.98,2016-06-09
244,144.7,142.44,2016-06-10
245,142.35,141.84,2016-06-14
246,141.9,141.57,2016-06-15
247,141.0,139.5,2016-06-16
248,140.28,139.32,2016-06-17
249,141.14,142.97,2016-06-20
250,142.98,143.54,2016-06-21
251,143.7,143.0,2016-06-22
252,143.0,144.2,2016-06-23
253,139.81,141.25,2016-06-24
254,141.03,138.52,2016-06-27
255,139.2,139.24,2016-06-28
256,139.6,140.0,2016-06-29
257,140.01,139.51,2016-06-30
258,139.81,140.05,2016-07-01
259,140.75,141.6,2016-07-04
260,141.7,140.95,2016-07-05
261,140.94,139.99,2016-07-06
262,140.31,140.37,2016-07-07
263,139.52,140.27,2016-07-08
264,140.8,141.4,2016-07-11
265,141.6,142.12,2016-07-12
266,142.01,143.6,2016-07-13
267,143.51,144.2,2016-07-14
268,143.95,147.37,2016-07-15
269,147.4,145.84,2016-07-18
270,139.01,139.48,2016-07-19
271,139.48,139.26,2016-07-20
272,140.0,140.1,2016-07-21
273,139.7,140.6,2016-07-22
274,140.6,140.7,2016-07-25
275,140.94,140.69,2016-07-26
276,140.2,139.5,2016-07-27
277,139.05,139.9,2016-07-28
278,139.5,137.3,2016-07-29
279,137.73,136.93,2016-08-01
280,137.0,134.5,2016-08-02
281,134.5,134.04,2016-08-03
282,134.9,136.7,2016-08-04
283,136.6,135.5,2016-08-05
284,136.0,137.47,2016-08-08
285,137.11,137.34,2016-08-09
286,137.39,137.4,2016-08-10
287,137.04,137.19,2016-08-11
288,137.4,137.83,2016-08-12
289,138.04,138.0,2016-08-15
290,138.0,137.99,2016-08-16
291,137.99,137.68,2016-08-17
292,137.5,138.4,2016-08-18
293,138.49,136.8,2016-08-19
294,136.78,137.8,2016-08-22
295,137.3,137.37,2016-08-23
296,137.24,137.0,2016-08-24
297,136.5,135.42,2016-08-25
298,135.2,136.2,2016-08-26
299,135.43,136.2,2016-08-29
300,136.2,135.59,2016-08-30
301,135.55,134.95,2016-08-31
302,135.01,134.99,2016-09-01
303,135.29,135.55,2016-09-02
304,136.28,136.05,2016-09-05
305,136.87,141.4,2016-09-06
306,141.8,143.08,2016-09-07
307,143.66,141.45,2016-09-08
308,140.9,138.54,2016-09-09
309,137.5,138.93,2016-09-12
310,138.76,138.45,2016-09-13
311,138.17,139.35,2016-09-14
312,139.25,137.6,2016-09-15
313,137.7,136.47,2016-09-16
314,136.87,136.59,2016-09-19
315,136.2,137.0,2016-09-20
316,137.21,136.25,2016-09-21
317,136.89,136.7,2016-09-22
318,136.2,136.7,2016-09-23
319,136.39,135.26,2016-09-26
320,135.51,133.92,2016-09-27
321,134.58,134.09,2016-09-28
322,135.4,135.31,2016-09-29
323,135.0,134.9,2016-09-30
324,135.1,135.37,2016-10-03
325,135.5,136.23,2016-10-04
326,136.31,134.8,2016-10-05
327,134.88,135.9,2016-10-06
328,135.89,136.1,2016-10-07
329,136.17,139.1,2016-10-10
330,139.14,138.98,2016-10-11
331,138.52,138.07,2016-10-12
332,137.7,137.47,2016-10-13
333,137.55,136.2,2016-10-14
334,136.1,135.57,2016-10-17
335,136.0,135.81,2016-10-18
336,136.11,135.49,2016-10-19
337,135.79,134.72,2016-10-20
338,135.1,134.96,2016-10-21
339,135.24,135.05,2016-10-24
340,135.25,135.3,2016-10-25
341,135.11,135.32,2016-10-26
342,135.32,135.04,2016-10-27
343,135.0,135.0,2016-10-28
