,OPEN,CLOSE,TRADEDATE
0,37.5,37.4,2015-06-23
1,37.5,37.45,2015-06-24
2,37.55,37.4,2015-06-25
3,37.5,37.45,2015-06-26
4,37.4,37.25,2015-06-29
5,37.3,38.0,2015-06-30
6,37.75,37.75,2015-07-01
7,37.75,37.75,2015-07-02
8,38.15,37.55,2015-07-03
9,37.4,37.65,2015-07-06
10,37.55,37.8,2015-07-07
11,37.6,36.8,2015-07-08
12,36.5,36.5,2015-07-09
13,36.55,37.2,2015-07-10
14,37.15,36.5,2015-07-13
15,36.65,37.15,2015-07-14
16,37.65,36.55,2015-07-15
17,36.4,36.75,2015-07-16
18,36.8,36.8,2015-07-17
19,36.8,36.35,2015-07-20
20,36.45,36.95,2015-07-21
21,37.3,36.65,2015-07-22
22,36.8,36.55,2015-07-23
23,36.5,36.25,2015-07-24
24,36.1,36.0,2015-07-27
25,36.05,35.65,2015-07-28
26,35.7,35.75,2015-07-29
27,35.85,35.7,2015-07-30
28,35.95,35.95,2015-07-31
29,35.9,35.55,2015-08-03
30,35.7,36.25,2015-08-04
31,36.25,36.3,2015-08-05
32,36.65,35.85,2015-08-06
33,36.2,35.95,2015-08-07
34,35.85,36.55,2015-08-10
35,36.3,36.55,2015-08-11
36,36.3,36.2,2015-08-12
37,36.45,36.05,2015-08-13
38,36.15,36.0,2015-08-14
39,36.05,35.95,2015-08-17
40,35.95,35.55,2015-08-18
41,35.35,35.05,2015-08-19
42,35.15,35.1,2015-08-20
43,34.95,35.0,2015-08-21
44,34.55,34.4,2015-08-24
45,33.95,34.5,2015-08-25
46,34.85,34.75,2015-08-26
47,35.0,35.1,2015-08-27
48,35.1,35.45,2015-08-28
49,35.15,35.45,2015-08-31
50,35.55,35.7,2015-09-01
51,35.7,35.65,2015-09-02
52,35.95,35.65,2015-09-03
53,37.0,35.15,2015-09-04
54,35.5,34.95,2015-09-07
55,35.0,35.05,2015-09-08
56,34.8,35.05,2015-09-09
57,35.1,34.85,2015-09-10
58,34.75,34.9,2015-09-11
59,35.35,35.0,2015-09-14
60,34.8,35.05,2015-09-15
61,35.0,35.15,2015-09-16
62,35.0,34.95,2015-09-17
63,34.85,35.0,2015-09-18
64,35.0,35.9,2015-09-21
65,35.9,35.3,2015-09-22
66,35.25,34.95,2015-09-23
67,35.05,34.85,2015-09-24
68,35.0,34.75,2015-09-25
69,34.8,35.05,2015-09-28
70,34.75,34.9,2015-09-29
71,34.75,34.85,2015-09-30
72,34.65,34.6,2015-10-01
73,34.55,34.65,2015-10-02
74,34.1,34.3,2015-10-05
75,34.9,34.45,2015-10-06
76,34.55,34.25,2015-10-07
77,34.5,33.85,2015-10-08
78,34.15,34.75,2015-10-09
79,34.6,34.35,2015-10-12
80,34.05,34.2,2015-10-13
81,34.3,34.55,2015-10-14
82,34.4,34.75,2015-10-15
83,34.75,34.55,2015-10-16
84,34.4,34.5,2015-10-19
85,34.3,34.55,2015-10-20
86,34.25,34.3,2015-10-21
87,34.4,34.8,2015-10-22
88,34.4,34.55,2015-10-23
89,34.4,34.7,2015-10-26
90,34.45,35.0,2015-10-27
91,35.05,34.6,2015-10-28
92,34.8,34.25,2015-10-29
93,34.3,34.55,2015-10-30
94,34.85,34.7,2015-11-02
95,34.7,36.85,2015-11-03
96,36.4,35.8,2015-11-05
97,35.75,35.8,2015-11-06
98,35.9,35.5,2015-11-09
99,35.65,35.35,2015-11-10
100,35.4,35.45,2015-11-11
101,35.3,35.3,2015-11-12
102,35.05,34.9,2015-11-13
103,35.0,34.35,2015-11-16
104,34.75,35.15,2015-11-17
105,34.95,35.3,2015-11-18
106,34.8,35.5,2015-11-19
107,35.5,35.6,2015-11-20
108,35.25,35.85,2015-11-23
109,36.1,35.0,2015-11-24
110,35.35,35.5,2015-11-25
111,35.75,35.2,2015-11-26
112,35.4,35.25,2015-11-27
113,35.5,35.5,2015-11-30
114,35.25,35.1,2015-12-01
115,35.05,34.85,2015-12-02
116,34.85,34.85,2015-12-03
117,35.0,35.0,2015-12-04
118,35.15,34.65,2015-12-07
119,34.8,34.45,2015-12-08
120,34.55,34.5,2015-12-09
121,34.45,34.45,2015-12-10
122,34.55,35.0,2015-12-11
123,34.6,35.0,2015-12-14
124,35.0,35.0,2015-12-15
125,34.95,35.5,2015-12-16
126,35.85,35.9,2015-12-17
127,35.9,35.1,2015-12-18
128,35.5,35.0,2015-12-21
129,35.3,35.1,2015-12-22
130,35.15,35.65,2015-12-23
131,36.2,35.85,2015-12-24
132,35.85,35.85,2015-12-25
133,36.0,35.8,2015-12-28
134,35.2,35.5,2015-12-29
135,35.2,35.55,2015-12-30
136,35.85,36.1,2016-01-04
137,35.95,36.05,2016-01-05
138,36.0,36.15,2016-01-06
139,35.6,35.6,2016-01-11
140,35.6,35.4,2016-01-12
141,35.65,35.8,2016-01-13
142,35.65,35.5,2016-01-14
143,35.5,35.0,2016-01-15
144,34.5,34.45,2016-01-18
145,34.45,34.9,2016-01-19
146,35.0,34.5,2016-01-20
147,34.35,34.4,2016-01-21
148,34.85,34.35,2016-01-22
149,34.7,34.4,2016-01-25
150,34.5,34.7,2016-01-26
151,34.75,34.8,2016-01-27
152,34.8,34.85,2016-01-28
153,34.95,34.65,2016-01-29
154,34.95,34.95,2016-02-01
155,34.9,34.95,2016-02-02
156,34.9,34.95,2016-02-03
157,35.1,35.1,2016-02-04
158,35.3,35.25,2016-02-05
159,34.75,35.3,2016-02-08
160,35.6,35.15,2016-02-09
161,35.1,35.15,2016-02-10
162,35.05,34.8,2016-02-11
163,35.15,35.45,2016-02-12
164,35.6,35.0,2016-02-15
165,35.2,35.1,2016-02-16
166,35.15,34.7,2016-02-17
167,35.05,34.95,2016-02-18
168,34.7,35.0,2016-02-19
169,34.75,35.0,2016-02-20
170,34.9,35.0,2016-02-22
171,35.05,34.9,2016-02-24
172,34.75,34.95,2016-02-25
173,35.0,34.85,2016-02-26
174,34.75,35.0,2016-02-29
