,OPEN,CLOSE,TRADEDATE
0,70.7,69.21,2015-06-23
1,69.37,67.85,2015-06-24
2,67.76,68.21,2015-06-25
3,68.4,69.59,2015-06-26
4,69.2,69.38,2015-06-29
5,68.33,69.82,2015-06-30
6,69.65,68.8,2015-07-01
7,68.89,69.57,2015-07-02
8,69.45,68.53,2015-07-03
9,67.95,66.99,2015-07-06
10,67.29,66.49,2015-07-07
11,66.3,66.59,2015-07-08
12,67.0,67.01,2015-07-09
13,67.23,66.1,2015-07-10
14,66.35,67.57,2015-07-13
15,67.9,70.24,2015-07-14
16,69.8,72.23,2015-07-15
17,72.08,71.98,2015-07-16
18,71.75,71.89,2015-07-17
19,71.95,70.2,2015-07-20
20,70.22,70.45,2015-07-21
21,70.3,70.0,2015-07-22
22,70.17,68.95,2015-07-23
23,68.95,68.11,2015-07-24
24,68.3,67.75,2015-07-27
25,67.76,69.91,2015-07-28
26,70.17,69.7,2015-07-29
27,69.84,70.59,2015-07-30
28,70.37,70.5,2015-07-31
29,70.75,70.5,2015-08-03
30,70.0,70.5,2015-08-04
31,71.16,72.2,2015-08-05
32,71.73,73.31,2015-08-06
33,73.03,74.4,2015-08-07
34,74.41,73.6,2015-08-10
35,73.45,73.6,2015-08-11
36,73.75,74.0,2015-08-12
37,74.16,75.2,2015-08-13
38,74.66,76.18,2015-08-14
39,75.0,76.0,2015-08-17
40,75.51,75.2,2015-08-18
41,75.11,74.3,2015-08-19
42,74.19,74.52,2015-08-20
43,74.51,71.8,2015-08-21
44,70.0,69.5,2015-08-24
45,69.52,71.4,2015-08-25
46,71.2,71.1,2015-08-26
47,71.6,73.42,2015-08-27
48,74.3,74.0,2015-08-28
49,73.71,74.31,2015-08-31
50,74.19,76.6,2015-09-01
51,76.05,74.91,2015-09-02
52,75.39,75.43,2015-09-03
53,75.35,76.1,2015-09-04
54,76.23,73.99,2015-09-07
55,74.01,75.0,2015-09-08
56,75.38,74.88,2015-09-09
57,74.9,77.61,2015-09-10
58,77.8,80.59,2015-09-11
59,80.57,81.97,2015-09-14
60,82.58,79.99,2015-09-15
61,80.32,79.31,2015-09-16
62,79.31,81.88,2015-09-17
63,82.47,80.0,2015-09-18
64,80.69,80.89,2015-09-21
65,80.65,79.99,2015-09-22
66,80.3,79.0,2015-09-23
67,79.59,79.4,2015-09-24
68,79.95,80.48,2015-09-25
69,80.51,77.5,2015-09-28
70,77.5,79.5,2015-09-29
71,79.66,80.0,2015-09-30
72,80.47,79.15,2015-10-01
73,79.02,77.6,2015-10-02
74,78.0,78.79,2015-10-05
75,78.92,81.5,2015-10-06
76,82.49,83.68,2015-10-07
77,83.32,83.05,2015-10-08
78,83.5,85.4,2015-10-09
79,85.4,88.2,2015-10-12
80,87.98,86.95,2015-10-13
81,86.5,85.7,2015-10-14
82,85.01,83.54,2015-10-15
83,83.98,85.9,2015-10-16
84,85.72,86.3,2015-10-19
85,86.3,86.25,2015-10-20
86,86.0,85.99,2015-10-21
87,85.95,88.29,2015-10-22
88,88.49,92.0,2015-10-23
89,92.0,95.1,2015-10-26
90,94.25,92.05,2015-10-27
91,91.97,91.7,2015-10-28
92,91.7,91.31,2015-10-29
93,91.29,89.84,2015-10-30
94,90.0,91.99,2015-11-02
95,91.97,91.5,2015-11-03
96,92.48,91.3,2015-11-05
97,90.95,90.81,2015-11-06
98,90.12,90.19,2015-11-09
99,89.88,90.5,2015-11-10
100,90.02,91.0,2015-11-11
