,OPEN,CLOSE,TRADEDATE
0,215.8,217.1,2015-06-23
1,218.5,216.9,2015-06-24
2,211.3,216.6,2015-06-25
3,194.9,191.0,2015-06-26
4,190.0,190.5,2015-06-29
5,189.5,188.3,2015-06-30
6,189.1,188.5,2015-07-01
7,188.9,188.9,2015-07-02
8,189.5,188.2,2015-07-03
9,188.0,185.3,2015-07-06
10,186.9,185.4,2015-07-07
11,186.2,180.8,2015-07-08
12,182.0,180.5,2015-07-09
13,181.1,180.1,2015-07-10
14,182.3,180.1,2015-07-13
15,179.9,180.0,2015-07-14
16,180.0,182.4,2015-07-15
17,182.1,182.0,2015-07-16
18,182.9,186.0,2015-07-17
19,186.4,185.5,2015-07-20
20,186.0,185.3,2015-07-21
21,185.2,185.5,2015-07-22
22,184.7,186.1,2015-07-23
23,185.6,184.8,2015-07-24
24,183.6,187.0,2015-07-27
25,186.9,188.4,2015-07-28
26,188.5,194.9,2015-07-29
27,192.6,194.8,2015-07-30
28,195.4,195.0,2015-07-31
29,195.0,191.5,2015-08-03
30,193.0,195.9,2015-08-04
31,195.9,195.4,2015-08-05
32,191.1,193.5,2015-08-06
33,191.6,193.5,2015-08-07
34,193.5,194.1,2015-08-10
35,195.6,195.4,2015-08-11
36,195.9,196.8,2015-08-12
37,196.0,199.5,2015-08-13
38,199.5,200.2,2015-08-14
39,200.2,198.7,2015-08-17
40,197.8,195.0,2015-08-18
41,196.9,196.2,2015-08-19
42,194.2,195.6,2015-08-20
43,194.0,196.4,2015-08-21
44,195.4,188.0,2015-08-24
45,188.0,192.4,2015-08-25
46,192.8,193.6,2015-08-26
47,195.5,197.6,2015-08-27
48,197.8,199.7,2015-08-28
49,198.0,210.0,2015-08-31
50,205.2,207.8,2015-09-01
51,206.0,206.2,2015-09-02
52,206.2,205.5,2015-09-03
53,205.5,203.5,2015-09-04
54,202.0,202.0,2015-09-07
55,203.1,201.5,2015-09-08
56,203.1,201.0,2015-09-09
57,201.0,201.0,2015-09-10
58,201.1,202.3,2015-09-11
59,201.9,200.8,2015-09-14
60,202.0,203.0,2015-09-15
61,203.1,201.8,2015-09-16
62,202.1,200.0,2015-09-17
63,199.7,200.3,2015-09-18
64,202.1,203.0,2015-09-21
65,203.0,200.0,2015-09-22
66,201.1,198.2,2015-09-23
67,199.0,199.3,2015-09-24
68,199.8,200.8,2015-09-25
69,200.1,200.0,2015-09-28
70,199.5,201.4,2015-09-29
71,202.0,205.5,2015-09-30
72,205.5,207.3,2015-10-01
73,207.2,208.9,2015-10-02
74,208.5,205.7,2015-10-05
75,207.0,207.4,2015-10-06
76,207.2,209.1,2015-10-07
77,209.2,209.9,2015-10-08
78,209.2,206.7,2015-10-09
79,208.2,206.8,2015-10-12
80,210.9,209.0,2015-10-13
81,211.0,208.9,2015-10-14
82,209.0,208.0,2015-10-15
83,210.0,210.9,2015-10-16
84,210.8,208.5,2015-10-19
85,209.9,207.3,2015-10-20
86,207.3,204.9,2015-10-21
87,204.1,208.6,2015-10-22
88,208.4,216.0,2015-10-23
89,215.8,220.5,2015-10-26
90,220.1,221.9,2015-10-27
91,218.2,225.2,2015-10-28
92,225.2,225.8,2015-10-29
93,226.8,227.7,2015-10-30
94,223.3,228.5,2015-11-02
95,229.9,243.5,2015-11-03
96,242.4,240.3,2015-11-05
97,238.1,238.7,2015-11-06
98,239.7,246.7,2015-11-09
99,244.1,244.5,2015-11-10
