,OPEN,CLOSE,TRADEDATE
0,72.3,72.01,2015-06-23
1,72.1,71.98,2015-06-24
2,71.95,71.42,2015-06-25
3,71.39,70.6,2015-06-26
4,69.18,70.2,2015-06-29
5,70.2,72.35,2015-06-30
6,72.3,71.0,2015-07-01
7,71.0,70.54,2015-07-02
8,70.6,70.67,2015-07-03
9,69.93,68.45,2015-07-06
10,68.47,68.77,2015-07-07
11,68.51,67.73,2015-07-08
12,68.17,69.35,2015-07-09
13,69.6,71.06,2015-07-10
14,70.75,72.94,2015-07-13
15,72.8,73.9,2015-07-14
16,73.78,74.0,2015-07-15
17,74.0,74.21,2015-07-16
18,74.19,75.52,2015-07-17
19,75.4,74.1,2015-07-20
20,73.97,75.55,2015-07-21
21,75.22,74.6,2015-07-22
22,74.61,72.7,2015-07-23
23,72.51,70.45,2015-07-24
24,70.4,68.48,2015-07-27
25,68.21,69.55,2015-07-28
26,69.89,71.2,2015-07-29
27,71.37,72.2,2015-07-30
28,71.96,72.3,2015-07-31
29,71.5,71.1,2015-08-03
30,70.8,72.3,2015-08-04
31,72.62,73.49,2015-08-05
32,73.21,72.25,2015-08-06
33,72.7,74.2,2015-08-07
34,74.2,75.16,2015-08-10
35,75.16,73.2,2015-08-11
36,72.99,73.4,2015-08-12
37,73.8,73.7,2015-08-13
38,73.65,74.43,2015-08-14
39,74.0,73.0,2015-08-17
40,72.71,72.45,2015-08-18
41,72.3,71.5,2015-08-19
42,71.1,72.05,2015-08-20
43,71.03,69.86,2015-08-21
44,68.02,68.53,2015-08-24
45,68.6,70.79,2015-08-25
46,70.6,71.0,2015-08-26
47,71.91,73.8,2015-08-27
48,74.46,74.82,2015-08-28
49,74.31,74.5,2015-08-31
50,74.4,73.14,2015-09-01
51,72.97,72.9,2015-09-02
52,73.5,74.15,2015-09-03
53,73.73,73.96,2015-09-04
54,73.67,73.81,2015-09-07
55,74.1,74.9,2015-09-08
56,75.6,74.65,2015-09-09
57,74.02,74.3,2015-09-10
58,74.28,74.1,2015-09-11
59,73.89,74.88,2015-09-14
60,74.9,74.85,2015-09-15
61,75.12,77.71,2015-09-16
62,77.56,76.49,2015-09-17
63,76.75,75.5,2015-09-18
64,75.6,75.94,2015-09-21
65,76.1,74.39,2015-09-22
66,74.4,73.74,2015-09-23
67,73.94,73.33,2015-09-24
68,73.78,74.97,2015-09-25
69,74.99,74.57,2015-09-28
70,74.17,75.5,2015-09-29
71,75.68,75.3,2015-09-30
72,76.0,74.51,2015-10-01
73,74.6,73.8,2015-10-02
74,74.55,76.2,2015-10-05
75,76.28,77.31,2015-10-06
