,OPEN,CLOSE,TRADEDATE
0,0.07926,0.07839,2015-06-23
1,0.0783,0.0779,2015-06-24
2,0.0776,0.078,2015-06-25
3,0.0778,0.078,2015-06-26
4,0.07685,0.07812,2015-06-29
5,0.07801,0.079,2015-06-30
6,0.07877,0.07719,2015-07-01
7,0.07734,0.07746,2015-07-02
8,0.07677,0.07584,2015-07-03
9,0.0751,0.0745,2015-07-06
10,0.0742,0.0746,2015-07-07
11,0.0747,0.07332,2015-07-08
12,0.07388,0.07301,2015-07-09
13,0.07355,0.0752,2015-07-10
14,0.0751,0.07455,2015-07-13
15,0.07455,0.07495,2015-07-14
16,0.07499,0.0749,2015-07-15
17,0.0743,0.07424,2015-07-16
18,0.0742,0.07401,2015-07-17
19,0.07418,0.07284,2015-07-20
20,0.07303,0.07325,2015-07-21
21,0.07292,0.07323,2015-07-22
22,0.07321,0.07275,2015-07-23
23,0.07288,0.0719,2015-07-24
24,0.07201,0.0723,2015-07-27
25,0.07211,0.07225,2015-07-28
26,0.07218,0.07229,2015-07-29
27,0.07215,0.07196,2015-07-30
28,0.07184,0.072,2015-07-31
29,0.0716,0.072,2015-08-03
30,0.07199,0.071,2015-08-04
31,0.07071,0.071,2015-08-05
32,0.07103,0.07053,2015-08-06
33,0.07087,0.07081,2015-08-07
34,0.07071,0.07044,2015-08-10
35,0.07074,0.0705,2015-08-11
36,0.07035,0.07024,2015-08-12
37,0.0705,0.07054,2015-08-13
38,0.07053,0.07042,2015-08-14
39,0.07043,0.07035,2015-08-17
40,0.0701,0.06966,2015-08-18
41,0.0696,0.06933,2015-08-19
42,0.0693,0.0694,2015-08-20
43,0.06901,0.0687,2015-08-21
44,0.0678,0.06652,2015-08-24
45,0.06655,0.07,2015-08-25
46,0.07,0.0698,2015-08-26
47,0.07015,0.06985,2015-08-27
48,0.07001,0.06965,2015-08-28
49,0.0697,0.069,2015-08-31
50,0.069,0.06728,2015-09-01
51,0.067,0.06695,2015-09-02
52,0.0672,0.06785,2015-09-03
53,0.06752,0.0675,2015-09-04
54,0.0673,0.0683,2015-09-07
55,0.06842,0.06976,2015-09-08
56,0.07065,0.06918,2015-09-09
57,0.06889,0.0691,2015-09-10
58,0.06914,0.0697,2015-09-11
59,0.06968,0.06989,2015-09-14
60,0.06976,0.06969,2015-09-15
61,0.0699,0.0686,2015-09-16
62,0.06872,0.06929,2015-09-17
63,0.07,0.06798,2015-09-18
64,0.06884,0.0682,2015-09-21
65,0.06827,0.06727,2015-09-22
66,0.06713,0.06701,2015-09-23
67,0.06692,0.06733,2015-09-24
68,0.06799,0.06747,2015-09-25
69,0.0673,0.06695,2015-09-28
70,0.06662,0.06695,2015-09-29
71,0.06697,0.0677,2015-09-30
72,0.0682,0.06767,2015-10-01
73,0.06767,0.067,2015-10-02
74,0.06735,0.0681,2015-10-05
75,0.0683,0.06932,2015-10-06
76,0.06935,0.0714,2015-10-07
77,0.07119,0.074,2015-10-08
78,0.07431,0.076,2015-10-09
79,0.07624,0.0781,2015-10-12
80,0.07782,0.07735,2015-10-13
81,0.07689,0.07708,2015-10-14
82,0.07716,0.0775,2015-10-15
83,0.0775,0.0754,2015-10-16
84,0.0751,0.07529,2015-10-19
85,0.07547,0.07551,2015-10-20
86,0.0754,0.07494,2015-10-21
87,0.07494,0.07451,2015-10-22
88,0.07475,0.07475,2015-10-23
89,0.075,0.0723,2015-10-26
90,0.07192,0.0735,2015-10-27
91,0.0735,0.07179,2015-10-28
92,0.07179,0.07196,2015-10-29
93,0.07181,0.07235,2015-10-30
94,0.07207,0.0725,2015-11-02
95,0.07293,0.07396,2015-11-03
96,0.0735,0.07615,2015-11-05
97,0.0765,0.07585,2015-11-06
98,0.07568,0.076,2015-11-09
99,0.07595,0.07576,2015-11-10
100,0.07575,0.076,2015-11-11
101,0.07567,0.07542,2015-11-12
102,0.07518,0.0758,2015-11-13
103,0.0756,0.07588,2015-11-16
104,0.07603,0.07595,2015-11-17
105,0.07639,0.0761,2015-11-18
106,0.07729,0.0762,2015-11-19
107,0.076,0.07601,2015-11-20
108,0.07619,0.0763,2015-11-23
109,0.07627,0.07283,2015-11-24
110,0.0731,0.0745,2015-11-25
111,0.07421,0.076,2015-11-26
112,0.0759,0.07271,2015-11-27
113,0.0726,0.071,2015-11-30
114,0.07157,0.07328,2015-12-01
115,0.0735,0.07225,2015-12-02
116,0.07188,0.0717,2015-12-03
117,0.07186,0.0723,2015-12-04
118,0.072,0.07247,2015-12-07
119,0.07225,0.07245,2015-12-08
120,0.07258,0.07505,2015-12-09
121,0.07503,0.07575,2015-12-10
122,0.07541,0.0757,2015-12-11
123,0.07521,0.07575,2015-12-14
124,0.0759,0.07624,2015-12-15
125,0.0762,0.0775,2015-12-16
126,0.07771,0.07877,2015-12-17
127,0.0787,0.0752,2015-12-18
128,0.07552,0.07634,2015-12-21
129,0.07631,0.07742,2015-12-22
130,0.07707,0.07864,2015-12-23
131,0.07883,0.07701,2015-12-24
132,0.0773,0.0771,2015-12-25
133,0.077,0.076,2015-12-28
134,0.07602,0.0782,2015-12-29
135,0.07835,0.0797,2015-12-30
136,0.07951,0.07719,2016-01-04
137,0.0768,0.07532,2016-01-05
138,0.0755,0.07517,2016-01-06
