,OPEN,CLOSE,TRADEDATE
0,885.0,871.0,2015-06-23
1,870.0,871.0,2015-06-24
2,879.0,866.0,2015-06-25
3,866.0,855.0,2015-06-26
4,854.0,842.0,2015-06-29
5,840.0,848.0,2015-06-30
6,847.0,853.0,2015-07-01
7,850.0,853.0,2015-07-02
8,853.0,857.0,2015-07-03
9,853.0,860.0,2015-07-06
10,858.0,820.0,2015-07-07
11,840.0,845.0,2015-07-08
12,860.0,855.0,2015-07-09
13,854.0,845.0,2015-07-10
14,835.0,857.0,2015-07-13
15,858.0,880.0,2015-07-14
16,880.0,875.0,2015-07-15
17,875.0,873.0,2015-07-16
18,873.0,900.0,2015-07-17
19,885.0,891.0,2015-07-20
20,889.0,889.0,2015-07-21
21,887.0,865.0,2015-07-22
22,868.0,879.0,2015-07-23
23,874.0,867.0,2015-07-24
24,866.0,860.0,2015-07-27
25,860.0,883.0,2015-07-28
26,883.0,903.0,2015-07-29
27,905.0,898.0,2015-07-30
28,888.0,882.0,2015-07-31
29,864.0,866.0,2015-08-03
30,866.0,869.0,2015-08-04
31,868.0,878.0,2015-08-05
32,880.0,850.0,2015-08-06
33,854.0,860.0,2015-08-07
34,855.0,858.0,2015-08-10
35,858.0,851.0,2015-08-11
36,851.0,830.0,2015-08-12
37,837.0,839.0,2015-08-13
38,840.0,831.0,2015-08-14
39,828.0,835.0,2015-08-17
40,830.0,819.0,2015-08-18
41,822.0,799.0,2015-08-19
42,799.0,780.0,2015-08-20
43,780.0,770.0,2015-08-21
44,741.0,738.0,2015-08-24
45,732.0,764.0,2015-08-25
46,754.0,742.0,2015-08-26
47,748.0,776.0,2015-08-27
48,786.0,800.0,2015-08-28
49,801.0,805.0,2015-08-31
50,797.0,782.0,2015-09-01
51,775.0,780.0,2015-09-02
52,783.0,795.0,2015-09-03
53,789.0,790.0,2015-09-04
54,787.0,786.0,2015-09-07
55,788.0,786.0,2015-09-08
56,786.0,787.0,2015-09-09
57,787.0,773.0,2015-09-10
58,775.0,760.0,2015-09-11
59,762.0,809.0,2015-09-14
60,813.0,815.0,2015-09-15
61,814.0,862.0,2015-09-16
62,859.0,860.0,2015-09-17
63,860.0,841.0,2015-09-18
64,841.0,826.0,2015-09-21
65,820.0,775.0,2015-09-22
66,780.0,752.0,2015-09-23
67,750.0,714.0,2015-09-24
68,716.0,714.0,2015-09-25
69,712.0,694.0,2015-09-28
70,689.0,703.0,2015-09-29
71,710.0,713.0,2015-09-30
72,718.0,704.0,2015-10-01
73,706.0,730.0,2015-10-02
74,737.0,775.0,2015-10-05
75,784.0,769.0,2015-10-06
76,770.0,745.0,2015-10-07
77,749.0,736.0,2015-10-08
78,742.0,763.0,2015-10-09
79,764.0,743.0,2015-10-12
80,744.0,814.0,2015-10-13
81,804.0,818.0,2015-10-14
82,828.0,821.0,2015-10-15
83,828.0,813.0,2015-10-16
84,811.0,845.0,2015-10-19
85,842.0,834.0,2015-10-20
86,831.0,822.0,2015-10-21
87,820.0,836.0,2015-10-22
88,822.0,813.0,2015-10-23
89,815.0,838.0,2015-10-26
90,862.0,940.0,2015-10-27
91,960.0,1002.0,2015-10-28
92,996.0,1009.0,2015-10-29
93,995.0,1016.0,2015-10-30
94,1018.0,1030.0,2015-11-02
95,1030.3,1011.0,2015-11-03
96,1002.2,980.0,2015-11-05
97,982.1,994.9,2015-11-06
98,999.0,1012.0,2015-11-09
99,1021.1,1027.0,2015-11-10
100,1020.1,1040.0,2015-11-11
101,1040.5,1020.6,2015-11-12
102,1017.9,1001.0,2015-11-13
103,996.0,1015.1,2015-11-16
104,1014.9,1059.0,2015-11-17
105,1060.0,1094.0,2015-11-18
106,1099.0,1086.0,2015-11-19
107,1090.3,1111.0,2015-11-20
108,1112.0,1129.9,2015-11-23
109,1129.9,1092.0,2015-11-24
110,1095.6,1127.0,2015-11-25
111,1119.9,1117.7,2015-11-26
112,1116.2,1074.5,2015-11-27
113,1074.5,1094.0,2015-11-30
114,1097.2,1086.0,2015-12-01
115,1079.8,1104.0,2015-12-02
116,1105.0,1099.0,2015-12-03
117,1090.0,1087.1,2015-12-04
118,1091.5,1060.0,2015-12-07
119,1060.0,1038.9,2015-12-08
120,1038.9,1050.0,2015-12-09
121,1047.0,1030.3,2015-12-10
122,1030.1,1037.0,2015-12-11
123,1020.1,984.4,2015-12-14
124,995.0,1055.0,2015-12-15
125,1060.0,1067.0,2015-12-16
126,1070.0,1084.9,2015-12-17
127,1085.0,1075.1,2015-12-18
128,1085.0,1095.1,2015-12-21
129,1104.0,1090.1,2015-12-22
130,1090.8,1125.1,2015-12-23
131,1117.0,1129.1,2015-12-24
132,1110.2,1110.0,2015-12-25
133,1109.2,1119.5,2015-12-28
134,1121.1,1138.0,2015-12-29
135,1136.1,1147.0,2015-12-30
136,1148.9,1064.1,2016-01-04
137,1080.0,1133.9,2016-01-05
138,1131.9,1112.0,2016-01-06
139,1027.5,987.0,2016-01-11
140,982.5,999.0,2016-01-12
141,1004.1,1006.0,2016-01-13
142,995.2,1009.0,2016-01-14
143,1010.0,954.0,2016-01-15
144,949.0,963.0,2016-01-18
145,966.0,954.0,2016-01-19
146,946.9,912.5,2016-01-20
147,926.9,1020.0,2016-01-21
148,1020.3,1020.0,2016-01-22
149,1020.0,1002.1,2016-01-25
150,1003.0,1012.0,2016-01-26
151,1018.1,1049.9,2016-01-27
152,1049.6,1017.4,2016-01-28
153,1019.0,1007.0,2016-01-29
154,1015.0,1013.0,2016-02-01
155,1019.5,1012.0,2016-02-02
156,1012.5,1012.5,2016-02-03
157,1020.0,1054.0,2016-02-04
158,1046.0,1023.0,2016-02-05
159,1021.5,986.0,2016-02-08
160,992.5,992.0,2016-02-09
161,980.5,998.0,2016-02-10
162,999.0,1007.0,2016-02-11
163,1006.0,989.0,2016-02-12
164,1004.0,1008.0,2016-02-15
165,1014.5,1072.0,2016-02-16
166,1064.0,1044.0,2016-02-17
167,1035.0,1014.0,2016-02-18
168,1005.0,989.0,2016-02-19
169,985.5,988.0,2016-02-20
170,996.0,1002.5,2016-02-22
171,990.5,974.5,2016-02-24
172,990.0,982.0,2016-02-25
173,977.5,983.5,2016-02-26
174,980.0,978.0,2016-02-29
175,975.5,989.5,2016-03-01
176,995.0,1003.0,2016-03-02
177,1019.5,1018.0,2016-03-03
178,1006.0,999.0,2016-03-04
179,1095.5,1020.0,2016-03-07
180,1001.0,994.0,2016-03-09
181,990.0,978.5,2016-03-10
182,986.5,979.0,2016-03-11
183,993.0,1023.0,2016-03-14
184,1033.0,1004.0,2016-03-15
185,1000.0,1021.0,2016-03-16
186,1040.0,1032.0,2016-03-17
187,1040.0,1034.5,2016-03-18
188,1033.5,1022.0,2016-03-21
189,1026.0,1023.5,2016-03-22
190,1025.5,1020.5,2016-03-23
191,1028.0,1028.0,2016-03-24
192,1029.5,1032.5,2016-03-25
193,1035.0,1013.0,2016-03-28
194,1022.0,1036.0,2016-03-29
195,1039.0,1041.5,2016-03-30
196,1043.5,1022.0,2016-03-31
197,1025.0,1028.0,2016-04-01
198,1039.0,1033.0,2016-04-04
199,1033.0,1039.0,2016-04-05
200,1035.5,1041.0,2016-04-06
201,1041.0,1060.0,2016-04-07
202,1042.5,1018.0,2016-04-08
203,1015.0,1045.0,2016-04-11
204,1042.5,1088.5,2016-04-12
205,1093.0,1127.0,2016-04-13
206,1112.0,1109.5,2016-04-14
207,1104.5,1109.0,2016-04-15
208,1091.0,1130.0,2016-04-18
209,1139.5,1148.0,2016-04-19
210,1147.0,1186.0,2016-04-20
211,1186.0,1200.0,2016-04-21
212,1200.5,1196.0,2016-04-22
213,1197.5,1176.5,2016-04-25
214,1180.0,1173.0,2016-04-26
215,1182.0,1194.0,2016-04-27
216,1191.5,1300.0,2016-04-28
217,1290.0,1301.0,2016-04-29
218,1301.5,1337.5,2016-05-04
219,1334.5,1316.5,2016-05-05
220,1315.5,1291.0,2016-05-06
221,1283.5,1291.5,2016-05-10
222,1298.0,1286.0,2016-05-11
223,1286.5,1277.0,2016-05-12
224,1264.0,1276.5,2016-05-13
225,1263.5,1297.0,2016-05-16
226,1299.5,1278.5,2016-05-17
227,1276.5,1267.5,2016-05-18
228,1265.0,1261.0,2016-05-19
229,1260.5,1278.0,2016-05-20
230,1276.0,1288.0,2016-05-23
231,1285.0,1289.5,2016-05-24
232,1287.5,1305.0,2016-05-25
233,1302.5,1303.5,2016-05-26
234,1310.0,1311.0,2016-05-27
235,1321.0,1317.5,2016-05-30
236,1318.0,1357.0,2016-05-31
237,1370.0,1369.5,2016-06-01
238,1369.5,1371.0,2016-06-02
239,1372.5,1370.0,2016-06-03
240,1390.0,1399.0,2016-06-06
241,1405.0,1413.0,2016-06-07
242,1422.0,1450.0,2016-06-08
243,1452.5,1464.0,2016-06-09
244,1469.0,1430.0,2016-06-10
245,1431.0,1375.5,2016-06-14
246,1385.0,1408.5,2016-06-15
247,1402.0,1380.0,2016-06-16
248,1366.0,1406.0,2016-06-17
249,1424.5,1418.5,2016-06-20
250,1427.0,1377.0,2016-06-21
251,1384.5,1407.0,2016-06-22
252,1406.0,1428.0,2016-06-23
253,1401.5,1379.5,2016-06-24
254,1391.0,1291.0,2016-06-27
255,1300.5,1336.0,2016-06-28
256,1359.5,1372.5,2016-06-29
257,1375.0,1399.0,2016-06-30
258,1408.5,1403.0,2016-07-01
259,1401.5,1390.0,2016-07-04
260,1380.5,1383.0,2016-07-05
261,1380.5,1373.5,2016-07-06
262,1378.0,1390.0,2016-07-07
263,1391.0,1413.0,2016-07-08
264,1425.0,1407.0,2016-07-11
265,1410.0,1473.0,2016-07-12
266,1473.0,1403.0,2016-07-13
267,1413.5,1391.0,2016-07-14
268,1390.0,1373.5,2016-07-15
269,1375.0,1354.0,2016-07-18
270,1358.0,1345.5,2016-07-19
271,1343.0,1360.0,2016-07-20
272,1357.5,1376.0,2016-07-21
273,1370.5,1387.5,2016-07-22
274,1398.0,1377.5,2016-07-25
275,1373.0,1404.0,2016-07-26
276,1392.5,1419.0,2016-07-27
277,1439.0,1485.5,2016-07-28
278,1487.0,1442.0,2016-07-29
279,1457.0,1438.5,2016-08-01
280,1434.0,1416.0,2016-08-02
281,1415.0,1409.0,2016-08-03
282,1402.5,1417.0,2016-08-04
283,1412.0,1429.0,2016-08-05
284,1428.0,1420.0,2016-08-08
285,1415.0,1447.0,2016-08-09
286,1455.0,1447.0,2016-08-10
287,1445.5,1485.0,2016-08-11
288,1494.0,1506.0,2016-08-12
289,1506.5,1498.0,2016-08-15
290,1498.0,1491.0,2016-08-16
291,1493.0,1459.0,2016-08-17
292,1462.0,1451.0,2016-08-18
293,1464.5,1445.5,2016-08-19
294,1433.5,1441.0,2016-08-22
295,1433.5,1449.0,2016-08-23
296,1459.0,1453.0,2016-08-24
297,1465.0,1444.5,2016-08-25
298,1441.0,1447.0,2016-08-26
299,1440.5,1442.0,2016-08-29
300,1442.5,1437.5,2016-08-30
301,1440.0,1428.0,2016-08-31
302,1430.5,1464.0,2016-09-01
303,1464.5,1463.0,2016-09-02
304,1463.0,1455.5,2016-09-05
305,1458.5,1441.0,2016-09-06
306,1439.0,1418.0,2016-09-07
307,1420.0,1409.0,2016-09-08
308,1410.0,1370.0,2016-09-09
309,1360.0,1350.0,2016-09-12
310,1359.5,1326.0,2016-09-13
311,1326.5,1321.5,2016-09-14
312,1324.0,1319.5,2016-09-15
313,1339.0,1335.0,2016-09-16
314,1348.0,1341.0,2016-09-19
315,1340.5,1341.0,2016-09-20
316,1359.0,1348.5,2016-09-21
317,1361.0,1401.0,2016-09-22
318,1408.0,1398.5,2016-09-23
319,1381.0,1370.0,2016-09-26
320,1370.5,1353.0,2016-09-27
321,1363.0,1355.0,2016-09-28
322,1364.5,1353.0,2016-09-29
323,1350.0,1341.0,2016-09-30
324,1327.0,1356.0,2016-10-03
325,1365.0,1346.0,2016-10-04
326,1333.0,1371.0,2016-10-05
327,1378.0,1376.5,2016-10-06
328,1375.0,1367.0,2016-10-07
329,1361.5,1352.5,2016-10-10
330,1350.0,1350.5,2016-10-11
331,1353.5,1290.0,2016-10-12
332,1277.0,1231.0,2016-10-13
333,1209.5,1212.0,2016-10-14
334,1202.5,1186.0,2016-10-17
335,1194.0,1228.5,2016-10-18
336,1236.5,1238.5,2016-10-19
337,1244.0,1234.0,2016-10-20
338,1222.5,1213.5,2016-10-21
339,1235.0,1221.0,2016-10-24
340,1221.5,1222.5,2016-10-25
341,1225.0,1194.5,2016-10-26
342,1209.5,1261.0,2016-10-27
343,1271.0,1270.0,2016-10-28
344,1279.0,1256.0,2016-10-31
345,1259.5,1243.5,2016-11-01
346,1243.0,1212.0,2016-11-02
347,1210.0,1190.0,2016-11-03
348,1191.5,1196.0,2016-11-07
349,1190.0,1197.0,2016-11-08
350,1180.0,1234.0,2016-11-09
351,1241.5,1240.5,2016-11-10
352,1244.5,1225.0,2016-11-11
353,1225.0,1195.0,2016-11-14
354,1195.0,1170.0,2016-11-15
355,1172.0,1164.0,2016-11-16
356,1150.5,1150.0,2016-11-17
357,1159.0,1203.5,2016-11-18
358,1200.0,1201.0,2016-11-21
359,1200.0,1177.0,2016-11-22
360,1203.0,1228.0,2016-11-23
361,1230.0,1228.5,2016-11-24
362,1223.0,1221.5,2016-11-25
363,1222.5,1213.0,2016-11-28
364,1204.5,1215.0,2016-11-29
365,1216.0,1201.5,2016-11-30
366,1210.5,1217.0,2016-12-01
367,1195.5,1197.5,2016-12-02
368,1184.5,1199.0,2016-12-05
369,1215.0,1231.0,2016-12-06
370,1234.5,1243.0,2016-12-07
371,1249.0,1252.0,2016-12-08
372,1262.0,1248.0,2016-12-09
373,1245.5,1239.0,2016-12-12
374,1240.0,1277.0,2016-12-13
375,1279.0,1282.5,2016-12-14
376,1285.0,1292.0,2016-12-15
377,1274.5,1263.0,2016-12-16
378,1271.0,1255.0,2016-12-19
379,1259.5,1267.0,2016-12-20
380,1271.0,1245.0,2016-12-21
381,1246.0,1246.0,2016-12-22
382,1242.5,1252.0,2016-12-23
383,1252.0,1245.0,2016-12-26
384,1251.0,1237.0,2016-12-27
385,1237.0,1228.0,2016-12-28
386,1239.0,1241.0,2016-12-29
387,1240.0,1247.5,2016-12-30
388,1256.0,1241.0,2017-01-03
389,1247.5,1239.0,2017-01-04
390,1246.5,1252.0,2017-01-05
391,1290.0,1291.0,2017-01-06
392,1295.0,1317.0,2017-01-09
393,1321.5,1319.5,2017-01-10
394,1309.0,1299.0,2017-01-11
395,1293.5,1271.5,2017-01-12
396,1272.0,1286.5,2017-01-13
397,1284.5,1305.0,2017-01-16
398,1291.5,1303.0,2017-01-17
399,1296.0,1299.0,2017-01-18
400,1304.5,1307.0,2017-01-19
401,1315.0,1315.0,2017-01-20
402,1310.5,1295.0,2017-01-23
403,1301.5,1349.0,2017-01-24
404,1350.0,1381.0,2017-01-25
405,1394.0,1411.0,2017-01-26
406,1411.5,1418.5,2017-01-27
407,1408.5,1370.0,2017-01-30
408,1375.0,1379.0,2017-01-31
409,1380.0,1384.0,2017-02-01
410,1391.0,1370.0,2017-02-02
411,1370.5,1387.0,2017-02-03
412,1394.0,1357.5,2017-02-06
413,1358.0,1382.0,2017-02-07
414,1367.5,1350.0,2017-02-08
415,1363.0,1356.5,2017-02-09
416,1360.0,1345.0,2017-02-10
417,1357.0,1335.0,2017-02-13
418,1334.0,1312.0,2017-02-14
419,1316.5,1316.0,2017-02-15
420,1335.5,1401.0,2017-02-16
421,1400.0,1425.0,2017-02-17
422,1427.0,1425.0,2017-02-20
423,1423.0,1395.0,2017-02-21
424,1397.0,1399.0,2017-02-22
425,1380.0,1368.5,2017-02-24
426,1371.0,1354.0,2017-02-27
427,1343.5,1330.0,2017-02-28
428,1325.0,1334.0,2017-03-01
429,1358.5,1358.5,2017-03-02
430,1358.5,1370.0,2017-03-03
431,1370.0,1359.0,2017-03-06
432,1372.0,1364.0,2017-03-07
433,1370.5,1359.5,2017-03-09
434,1361.0,1360.0,2017-03-10
435,1350.5,1366.5,2017-03-13
436,1378.5,1357.0,2017-03-14
437,1369.0,1341.0,2017-03-15
438,1351.5,1375.0,2017-03-16
439,1377.5,1354.0,2017-03-17
440,1359.5,1347.0,2017-03-20
441,1342.0,1311.0,2017-03-21
442,1294.0,1291.0,2017-03-22
443,1292.0,1288.0,2017-03-23
444,1290.0,1280.0,2017-03-24
445,1270.0,1261.0,2017-03-27
446,1262.0,1275.0,2017-03-28
447,1278.0,1262.0,2017-03-29
448,1262.5,1247.5,2017-03-30
449,1244.5,1245.5,2017-03-31
450,1232.0,1242.0,2017-04-03
451,1240.0,1239.0,2017-04-04
452,1237.5,1298.0,2017-04-05
453,1281.0,1289.0,2017-04-06
454,1286.0,1260.0,2017-04-07
455,1260.0,1249.5,2017-04-10
456,1230.0,1251.0,2017-04-11
457,1257.0,1284.0,2017-04-12
458,1298.0,1289.0,2017-04-13
459,1270.5,1268.5,2017-04-14
460,1266.5,1367.5,2017-04-17
461,1370.0,1336.5,2017-04-18
462,1337.5,1329.5,2017-04-19
463,1321.5,1328.0,2017-04-20
464,1328.0,1310.0,2017-04-21
465,1315.5,1317.0,2017-04-24
466,1315.0,1338.0,2017-04-25
467,1344.0,1404.0,2017-04-26
468,1410.0,1520.0,2017-04-27
469,1530.5,1534.5,2017-04-28
470,1552.5,1549.0,2017-05-02
471,1549.0,1528.0,2017-05-03
472,1548.5,1581.0,2017-05-04
473,1553.0,1570.0,2017-05-05
474,1577.0,1590.0,2017-05-10
475,1589.5,1562.5,2017-05-11
476,1575.0,1592.0,2017-05-12
477,1601.0,1619.0,2017-05-15
478,1619.0,1611.0,2017-05-16
479,1625.0,1608.0,2017-05-17
480,1589.5,1565.0,2017-05-18
481,1581.0,1614.5,2017-05-19
482,1618.0,1608.0,2017-05-22
483,1618.0,1611.5,2017-05-23
484,1618.5,1611.0,2017-05-24
485,1600.5,1584.0,2017-05-25
486,1590.0,1568.0,2017-05-26
487,1565.0,1573.5,2017-05-29
488,1565.0,1552.0,2017-05-30
489,1568.0,1505.0,2017-05-31
490,1485.5,1520.5,2017-06-01
491,1507.5,1478.0,2017-06-02
492,1494.0,1525.0,2017-06-05
493,1538.5,1524.5,2017-06-06
494,1539.5,1526.0,2017-06-07
495,1526.0,1521.5,2017-06-08
496,1523.5,1541.5,2017-06-09
497,1491.0,1480.0,2017-06-13
498,1490.5,1482.5,2017-06-14
499,1461.5,1495.5,2017-06-15
500,1503.0,1464.5,2017-06-16
501,1475.0,1541.0,2017-06-19
502,1548.5,1554.0,2017-06-20
503,1554.0,1585.0,2017-06-21
504,1595.0,1618.0,2017-06-22
505,1611.5,1616.5,2017-06-23
506,1629.5,1608.0,2017-06-26
507,1614.0,1582.5,2017-06-27
508,1582.5,1612.0,2017-06-28
509,1630.5,1588.0,2017-06-29
510,1588.0,1536.0,2017-06-30
511,1553.0,1560.0,2017-07-03
512,1549.0,1566.5,2017-07-04
513,1570.5,1558.5,2017-07-05
514,1569.5,1564.0,2017-07-06
515,1574.5,1578.5,2017-07-07
516,1597.0,1594.0,2017-07-10
517,1604.0,1612.0,2017-07-11
518,1613.0,1632.0,2017-07-12
519,1640.0,1898.5,2017-07-13
520,1909.5,1867.0,2017-07-14
521,1865.0,1866.0,2017-07-17
522,1865.5,1867.0,2017-07-18
523,1879.0,1849.0,2017-07-19
524,1850.0,1845.0,2017-07-20
525,1840.0,1856.0,2017-07-21
526,1856.0,1916.0,2017-07-24
527,1925.0,1906.0,2017-07-25
528,1903.0,1899.5,2017-07-26
529,1900.0,1888.5,2017-07-27
530,1837.5,1754.5,2017-07-28
531,1764.0,1743.0,2017-07-31
532,1758.0,1746.5,2017-08-01
533,1756.0,1719.0,2017-08-02
534,1710.0,1744.0,2017-08-03
535,1751.0,1770.5,2017-08-04
536,1770.5,1795.5,2017-08-07
537,1817.0,1792.5,2017-08-08
538,1794.5,1835.5,2017-08-09
539,1864.0,1786.0,2017-08-10
540,1774.0,1731.5,2017-08-11
541,1742.0,1765.5,2017-08-14
542,1792.0,1798.0,2017-08-15
543,1805.0,1818.0,2017-08-16
544,1821.5,1832.0,2017-08-17
545,1820.0,1785.0,2017-08-18
546,1780.0,1769.0,2017-08-21
547,1779.5,1756.0,2017-08-22
548,1770.0,1765.0,2017-08-23
549,1771.0,1768.0,2017-08-24
550,1767.5,1757.0,2017-08-25
551,1759.5,1725.5,2017-08-28
552,1730.0,1743.0,2017-08-29
553,1746.5,1728.5,2017-08-30
554,1737.0,1752.0,2017-08-31
555,1746.5,1820.0,2017-09-01
556,1817.0,1833.0,2017-09-04
557,1831.5,1863.0,2017-09-05
558,1861.5,1843.0,2017-09-06
559,1849.0,1820.0,2017-09-07
560,1855.5,1865.5,2017-09-08
561,1859.5,1867.0,2017-09-11
562,1867.0,1903.5,2017-09-12
563,1903.0,1876.0,2017-09-13
564,1871.5,1858.0,2017-09-14
565,1869.0,1895.0,2017-09-15
566,1890.0,1893.5,2017-09-18
567,1892.5,1872.5,2017-09-19
568,1880.0,1872.0,2017-09-20
569,1884.5,1872.0,2017-09-21
570,1875.0,1922.0,2017-09-22
571,1900.5,1853.0,2017-09-25
572,1864.5,1848.0,2017-09-26
573,1857.5,1867.0,2017-09-27
574,1876.0,1856.5,2017-09-28
575,1865.5,1873.0,2017-09-29
576,1880.5,1906.5,2017-10-02
577,1914.5,1961.0,2017-10-03
578,1951.0,1942.5,2017-10-04
579,1934.5,1925.0,2017-10-05
580,1939.0,1893.0,2017-10-06
581,1907.5,1920.0,2017-10-09
582,1910.0,1840.0,2017-10-10
583,1854.5,1855.5,2017-10-11
584,1855.0,1863.0,2017-10-12
585,1864.0,1858.0,2017-10-13
586,1850.0,1832.0,2017-10-16
587,1832.0,1833.0,2017-10-17
588,1833.0,1852.0,2017-10-18
589,1859.0,1839.5,2017-10-19
590,1825.0,1796.0,2017-10-20
